Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Tot Cool Cap [W]
00:10:00,5.479199E+00,7.424599E+04,2.765296E+02,2.639287E+06,5.461045E+06,5.329073E+01,1.020542E+06,5.479199E+00,3.642100E+04,1.231898E+05,5.479199E+00,9.131403E+04,7.450194E+01,7.115564E+05,2.349474E+06,5.479199E+00,9.186461E+04,6.794191E+01,6.489498E+05,2.198293E+06,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:20:00,5.479199E+00,7.476904E+04,2.696901E+02,2.574112E+06,5.349456E+06,5.667800E+01,1.085322E+06,5.479199E+00,3.589795E+04,1.214194E+05,5.479199E+00,9.183708E+04,6.755470E+01,6.453241E+05,2.147649E+06,5.479199E+00,9.238766E+04,6.099295E+01,5.826975E+05,1.989803E+06,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:30:00,5.479199E+00,7.529209E+04,2.630174E+02,2.510511E+06,5.239029E+06,5.998221E+01,1.148526E+06,5.479199E+00,3.537490E+04,1.196559E+05,5.479199E+00,9.236014E+04,6.077860E+01,5.807049E+05,1.947285E+06,5.479199E+00,9.291072E+04,5.421649E+01,5.180712E+05,1.782829E+06,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:40:00,5.479199E+00,7.581515E+04,2.565117E+02,2.448489E+06,5.130539E+06,6.320350E+01,1.210155E+06,5.479199E+00,3.485184E+04,1.178992E+05,5.479199E+00,9.288319E+04,5.417486E+01,5.177110E+05,1.748986E+06,5.479199E+00,9.343377E+04,4.761079E+01,4.550547E+05,1.569446E+06,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:50:00,5.479199E+00,7.633820E+04,2.501733E+02,2.388047E+06,5.024529E+06,6.634194E+01,1.270213E+06,5.479199E+00,3.432879E+04,1.161494E+05,5.479199E+00,9.340624E+04,4.774200E+01,4.563283E+05,1.553100E+06,5.479199E+00,9.395682E+04,4.117795E+01,3.936682E+05,1.358416E+06,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:00:00,5.479199E+00,7.686125E+04,2.440025E+02,2.329187E+06,4.921182E+06,6.939756E+01,1.328698E+06,5.479199E+00,3.380574E+04,1.144063E+05,5.479199E+00,9.392929E+04,4.148159E+01,3.965722E+05,1.359852E+06,5.479199E+00,9.447988E+04,3.491568E+01,3.338902E+05,1.152152E+06,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:10:00,5.479199E+00,7.720995E+04,2.381703E+02,2.273703E+06,4.824118E+06,7.228578E+01,1.383833E+06,5.479199E+00,3.345703E+04,1.132480E+05,5.479199E+00,9.427800E+04,3.556695E+01,3.402576E+05,1.172316E+06,5.479199E+00,9.482858E+04,2.899889E+01,2.775508E+05,9.578245E+05,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:20:00,5.479199E+00,7.755865E+04,2.326765E+02,2.221417E+06,4.730560E+06,7.500696E+01,1.435800E+06,5.479199E+00,3.310833E+04,1.120927E+05,5.479199E+00,9.462670E+04,2.999608E+01,2.871915E+05,9.902616E+05,5.479199E+00,9.517728E+04,2.342536E+01,2.244549E+05,7.746687E+05,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:30:00,5.479199E+00,7.790736E+04,2.275222E+02,2.172338E+06,4.640759E+06,7.756040E+01,1.484584E+06,5.479199E+00,3.275963E+04,1.109404E+05,5.479199E+00,9.497540E+04,2.477130E+01,2.373964E+05,8.193539E+05,5.479199E+00,9.552598E+04,1.819570E+01,1.746090E+05,6.027201E+05,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:40:00,5.479199E+00,7.825606E+04,2.227077E+02,2.126472E+06,4.556155E+06,7.994582E+01,1.530182E+06,5.479199E+00,3.241093E+04,1.097911E+05,5.479199E+00,9.532410E+04,1.989075E+01,1.908553E+05,6.587965E+05,5.479199E+00,9.587468E+04,1.331158E+01,1.280295E+05,4.420340E+05,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:50:00,5.479199E+00,7.860476E+04,2.182337E+02,2.083824E+06,4.477791E+06,8.216297E+01,1.572587E+06,5.479199E+00,3.206223E+04,1.086447E+05,5.479199E+00,9.567280E+04,1.535632E+01,1.475869E+05,5.095223E+05,5.479199E+00,9.622339E+04,9.056764E+00,8.740360E+04,3.018714E+05,9.649420E+02,1.850290E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.191293E+02,1.186170E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.253309E+02,1.583287E+07,5.479199E+00,0.000000E+00,0.000000E+00
