Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Tot Cool Cap [W]
00:10:00,5.479199E+00,7.424599E+04,2.765788E+02,2.639751E+06,5.461842E+06,5.321638E+01,1.019131E+06,5.479199E+00,3.642100E+04,1.231898E+05,5.479199E+00,9.131403E+04,7.459058E+01,7.123948E+05,2.352022E+06,5.479199E+00,9.186461E+04,6.803185E+01,6.498004E+05,2.200962E+06,9.647063E+02,1.849842E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.189753E+02,1.185878E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.251261E+02,1.582897E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:20:00,5.479199E+00,7.476904E+04,2.697380E+02,2.574565E+06,5.350238E+06,5.660530E+01,1.083943E+06,5.479199E+00,3.589795E+04,1.214194E+05,5.479199E+00,9.183708E+04,6.764248E+01,6.461543E+05,2.150211E+06,5.479199E+00,9.238766E+04,6.108202E+01,5.835401E+05,1.992489E+06,9.647063E+02,1.849842E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.189753E+02,1.185878E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.251261E+02,1.582897E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:30:00,5.479199E+00,7.529209E+04,2.630640E+02,2.510952E+06,5.239796E+06,5.991096E+01,1.147174E+06,5.479199E+00,3.537490E+04,1.196559E+05,5.479199E+00,9.236014E+04,6.086538E+01,5.815258E+05,1.949857E+06,5.479199E+00,9.291072E+04,5.430452E+01,5.189039E+05,1.785526E+06,9.647063E+02,1.849842E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.189753E+02,1.185878E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.251261E+02,1.582897E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:40:00,5.479199E+00,7.581515E+04,2.565570E+02,2.448917E+06,5.131291E+06,6.313356E+01,1.208829E+06,5.479199E+00,3.485184E+04,1.178992E+05,5.479199E+00,9.288319E+04,5.426047E+01,5.185209E+05,1.751564E+06,5.479199E+00,9.343377E+04,4.769769E+01,4.558768E+05,1.572279E+06,9.647063E+02,1.849842E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.189753E+02,1.185878E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.251261E+02,1.582897E+07,5.479199E+00,0.000000E+00,0.000000E+00
00:50:00,5.479199E+00,7.633820E+04,2.502172E+02,2.388461E+06,5.025264E+06,6.627319E+01,1.268909E+06,5.479199E+00,3.432879E+04,1.161494E+05,5.479199E+00,9.340624E+04,4.782638E+01,4.571267E+05,1.555679E+06,5.479199E+00,9.395682E+04,4.126362E+01,3.944787E+05,1.361209E+06,9.647063E+02,1.849842E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.189753E+02,1.185878E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.251261E+02,1.582897E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:00:00,5.479199E+00,7.686125E+04,2.440449E+02,2.329587E+06,4.921896E+06,6.932992E+01,1.327415E+06,5.479199E+00,3.380574E+04,1.144063E+05,5.479199E+00,9.392929E+04,4.156465E+01,3.973582E+05,1.362429E+06,5.479199E+00,9.447988E+04,3.500020E+01,3.346900E+05,1.154909E+06,9.647063E+02,1.849842E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.189753E+02,1.185878E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.251261E+02,1.582897E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:10:00,5.479199E+00,7.720995E+04,2.382109E+02,2.274086E+06,4.824804E+06,7.221934E+01,1.382573E+06,5.479199E+00,3.345703E+04,1.132480E+05,5.479199E+00,9.427800E+04,3.564833E+01,3.410277E+05,1.174970E+06,5.479199E+00,9.482858E+04,2.908197E+01,2.783370E+05,9.605342E+05,9.647063E+02,1.849842E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.189753E+02,1.185878E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.251261E+02,1.582897E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:20:00,5.479199E+00,7.755865E+04,2.327148E+02,2.221779E+06,4.731210E+06,7.494191E+01,1.434566E+06,5.479199E+00,3.310833E+04,1.120927E+05,5.479199E+00,9.462670E+04,3.007531E+01,2.879412E+05,9.928457E+05,5.479199E+00,9.517728E+04,2.350655E+01,2.252233E+05,7.773171E+05,9.647063E+02,1.849842E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.189753E+02,1.185878E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.251261E+02,1.582897E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:30:00,5.479199E+00,7.790736E+04,2.275578E+02,2.172675E+06,4.641370E+06,7.749688E+01,1.483380E+06,5.479199E+00,3.275963E+04,1.109404E+05,5.479199E+00,9.497540E+04,2.484799E+01,2.381221E+05,8.218552E+05,5.479199E+00,9.552598E+04,1.827468E+01,1.753565E+05,6.052963E+05,9.647063E+02,1.849842E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.189753E+02,1.185878E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.251261E+02,1.582897E+07,5.479199E+00,0.000000E+00,0.000000E+00
01:40:00,5.479199E+00,7.825606E+04,2.227404E+02,2.126781E+06,4.556722E+06,7.988396E+01,1.529008E+06,5.479199E+00,3.241093E+04,1.097911E+05,5.479199E+00,9.532410E+04,1.996466E+01,1.915549E+05,6.612074E+05,5.479199E+00,9.587468E+04,1.338798E+01,1.287528E+05,4.445266E+05,9.647063E+02,1.849842E+07,5.479199E+00,0.000000E+00,0.000000E+00,6.189753E+02,1.185878E+07,5.479199E+00,0.000000E+00,0.000000E+00,8.251261E+02,1.582897E+07,5.479199E+00,0.000000E+00,0.000000E+00
